Concat,ZScore_Index,MaxMin_Index,0Percent,Concat2,Indexish,ZScore_Index,MaxMin_Index,NAPercent,GTAP_Region,CLUM_category,year
2004IsraelServices,0.801016224,0.659812611,12.5,2007HondurasGovernment,896,0.215210623,0.26939953,9.090909091,Honduras,Government,2007
2004IsraelGross Fixed Capital Formation,0,0,0,2007HondurasHousing,1892,NA,NA,100,Honduras,Housing,2007
2004IsraelGovernment,0.056769311,0.314779457,9.090909091,2007HondurasPersonal Transportation,1562,1.134565846,0.95048245,33.33333333,Honduras,Personal Transportation,2007
2004JordanFood,-0.058895356,0.176610172,0,2007HondurasServices,1229,-0.322265655,0.442158831,37.5,Honduras,Services,2007
2004JordanHousing,0.505979436,0.770059862,0,2011HondurasFood,564,-0.131805365,0.174308934,0,Honduras,Food,2011
2004JordanPersonal Transportation,0.20825809,0.451435928,0,2011HondurasGovernment,897,0.117898419,0.260141649,9.090909091,Honduras,Government,2011
2004JordanGoods,0,0,0,2011HondurasHousing,1891,NA,NA,100,Honduras,Housing,2011
2004JordanServices,-0.288685763,0.448889218,12.5,2011HondurasPersonal Transportation,1563,0.454335732,0.472238432,0,Honduras,Personal Transportation,2011
2004JordanGross Fixed Capital Formation,0,0,0,2011HondurasServices,1230,-0.586764432,0.455311802,25,Honduras,Services,2011
2004JordanGovernment,0.176405052,0.27354363,9.090909091,2004HungaryFood,568,0.372557761,0.268930635,20,Hungary,Food,2004
2004KuwaitFood,0.567454416,0.233621179,0,2004HungaryGovernment,901,-0.125321279,0.291577625,9.090909091,Hungary,Government,2004
2004KuwaitHousing,1.288956254,1,0,2004HungaryHousing,1896,-0.254871048,0.546617659,0,Hungary,Housing,2004
2004KuwaitPersonal Transportation,0.485828083,0.474829696,0,2004HungaryPersonal Transportation,1567,0.05286541,0.438296254,0,Hungary,Personal Transportation,2004
2004KuwaitGoods,0,0,0,2004HungaryServices,1234,0.810848953,0.620034777,0,Hungary,Services,2004
2004KuwaitServices,0.063567964,0.494838755,0,2007HungaryFood,569,-0.548126917,0.187457131,20,Hungary,Food,2007
2004KuwaitGross Fixed Capital Formation,0,0,0,2007HungaryGovernment,902,-0.093782257,0.298587249,9.090909091,Hungary,Government,2007
2004KuwaitGovernment,0.310930219,0.329853505,9.090909091,2007HungaryHousing,1895,-0.008423124,0.618993071,0,Hungary,Housing,2007
2004OmanFood,-0.241364278,0.165512357,0,2007HungaryPersonal Transportation,1568,0.06698863,0.439469234,0,Hungary,Personal Transportation,2007
2004OmanHousing,0,0,100,2007HungaryServices,1235,0.962620657,0.653102221,0,Hungary,Services,2007
2004OmanPersonal Transportation,-0.138680462,0.001172279,33.33333333,2011HungaryFood,570,-0.17178138,0.221870642,20,Hungary,Food,2011
2004OmanGoods,0,0,0,2011HungaryGovernment,903,-0.076504332,0.29698201,9.090909091,Hungary,Government,2011
2004OmanServices,-0.717813342,0.170826044,50,2011HungaryHousing,1894,0.330964575,0.718662502,0,Hungary,Housing,2011
2004OmanGross Fixed Capital Formation,0,0,0,2011HungaryPersonal Transportation,1569,0.068470851,0.43925717,0,Hungary,Personal Transportation,2011
2004OmanGovernment,-0.161242758,0.20169681,18.18181818,2011HungaryServices,1236,1.102214375,0.617939388,12.5,Hungary,Services,2011
2004QatarFood,1.068673676,0.312573485,20,2004IndiaFood,580,-0.373354472,0.154554639,0,India,Food,2004
2004QatarHousing,0,0,0,2004IndiaGovernment,913,-0.012218662,0.158863862,18.18181818,India,Government,2004
2004QatarPersonal Transportation,-0.295383071,0.408851611,0,2004IndiaHousing,1899,NA,NA,100,India,Housing,2004
2004QatarGoods,0,0,0,2004IndiaPersonal Transportation,1579,-0.035206966,0.008587898,33.33333333,India,Personal Transportation,2004
2004QatarServices,0.150725235,0.525717451,12.5,2004IndiaServices,1246,0.220615974,0.319496627,37.5,India,Services,2004
2004QatarGross Fixed Capital Formation,0,0,0,2007IndiaFood,581,-0.033485304,0.183717134,0,India,Food,2007
2004QatarGovernment,0.0722563,0.410398026,36.36363636,2007IndiaGovernment,914,-0.256168193,0.199269433,18.18181818,India,Government,2007
2004Saudi ArabiaFood,0.406276065,0.21801986,0,2007IndiaHousing,1898,NA,NA,100,India,Housing,2007
2004Saudi ArabiaHousing,0,0,0,2007IndiaPersonal Transportation,1580,-0.131566706,0.421164334,0,India,Personal Transportation,2007
2004Saudi ArabiaPersonal Transportation,-0.080224456,0.005361636,33.33333333,2007IndiaServices,1247,-0.251663875,0.389489569,37.5,India,Services,2007
2004Saudi ArabiaGoods,0,0,0,2011IndiaFood,582,0.273729902,0.209951476,0,India,Food,2011
2004Saudi ArabiaServices,-0.178848213,0.261959144,50,2011IndiaGovernment,915,-0.125959814,0.245603858,9.090909091,India,Government,2011
2004Saudi ArabiaGross Fixed Capital Formation,0,0,0,2011IndiaHousing,1897,NA,NA,100,India,Housing,2011
2004Saudi ArabiaGovernment,0.183454177,0.242204169,9.090909091,2011IndiaPersonal Transportation,1581,0.235616721,0.451442841,0,India,Personal Transportation,2011
2004TurkeyFood,0.417131375,0.213668721,0,2011IndiaServices,1248,-0.390033017,0.352413899,25,India,Services,2011
2004TurkeyHousing,0,0,0,2004IndonesiaFood,571,-0.172572617,0.173647824,0,Indonesia,Food,2004
2004TurkeyPersonal Transportation,-0.626230429,0.380623355,0,2004IndonesiaGovernment,904,-0.168398811,0.228284567,0,Indonesia,Government,2004
2004TurkeyGoods,0,0,0,2004IndonesiaHousing,1902,NA,NA,100,Indonesia,Housing,2004
2004TurkeyServices,0.163829521,0.527442493,12.5,2004IndonesiaPersonal Transportation,1570,0.104397244,0.441873273,0,Indonesia,Personal Transportation,2004
2004TurkeyGross Fixed Capital Formation,0,0,0,2004IndonesiaServices,1237,-0.456335024,0.41015561,0,Indonesia,Services,2004
2004TurkeyGovernment,-0.44331404,0.213108346,0,2007IndonesiaFood,572,0.064183008,0.1939077,0,Indonesia,Food,2007
2004United Arab EmiratesFood,2.040572199,0.373157733,0,2007IndonesiaGovernment,905,-0.177802101,0.231894732,0,Indonesia,Government,2007
2004United Arab EmiratesHousing,0,0,0,2007IndonesiaHousing,1901,NA,NA,100,Indonesia,Housing,2007
2004United Arab EmiratesPersonal Transportation,-0.083370203,0.005136191,33.33333333,2007IndonesiaPersonal Transportation,1571,0.087904464,0.440366323,0,Indonesia,Personal Transportation,2007
2004United Arab EmiratesGoods,0,0,0,2007IndonesiaServices,1238,-0.198153084,0.445038697,0,Indonesia,Services,2007
2004United Arab EmiratesServices,-0.016461954,0.41653974,12.5,2011IndonesiaFood,573,0.406672138,0.223266106,0,Indonesia,Food,2011
2004United Arab EmiratesGross Fixed Capital Formation,0,0,0,2011IndonesiaGovernment,906,0.260908245,0.283823856,0,Indonesia,Government,2011
2004United Arab EmiratesGovernment,-0.286272134,0.383401332,63.63636364,2011IndonesiaHousing,1900,NA,NA,100,Indonesia,Housing,2011
2004Rest of Western AsiaFood,-0.483526123,0.15602153,5.213928923,2011IndonesiaPersonal Transportation,1572,0.434122035,0.46829016,0,Indonesia,Personal Transportation,2011
2004Rest of Western AsiaHousing,-1.368828145,0.219477133,55.47280483,2011IndonesiaServices,1239,-0.068986529,0.466649201,0,Indonesia,Services,2011
2004Rest of Western AsiaPersonal Transportation,-1.297657626,0.48780591,12.94269558,2004IranFood,4,-0.279932597,0.161564667,0,Iran,Food,2004
2004Rest of Western AsiaGoods,0,0,0,2004IranGoods,28,NA,Inf,0,Iran,Goods,2004
2004Rest of Western AsiaServices,-0.245647119,0.466539239,20.31651732,2004IranGovernment,52,0.06341282,0.37922272,27.27272727,Iran,Government,2004
2004Rest of Western AsiaGross Fixed Capital Formation,0,0,0,2004IranHousing,76,NA,NA,100,Iran,Housing,2004
2004Rest of Western AsiaGovernment,-0.547262778,0.233723769,25.02641642,2004IranPersonal Transportation,124,-0.060699336,0.428417167,0,Iran,Personal Transportation,2004
2004EgyptFood,0.49247188,0.229877227,0,2004IranServices,100,-0.48373019,0.468684475,12.5,Iran,Services,2004
2004EgyptHousing,-0.248231268,0.548567592,0,2007IranFood,148,-0.068380308,0.179732175,0,Iran,Food,2007
2004EgyptPersonal Transportation,-0.104170451,0.424980102,0,2007IranGoods,172,NA,Inf,0,Iran,Goods,2007
2004EgyptGoods,0,0,0,2007IranGovernment,196,0.058568172,0.339217352,18.18181818,Iran,Government,2007
2004EgyptServices,-0.470535544,0.332110604,12.5,2007IranHousing,220,NA,NA,100,Iran,Housing,2007
2004EgyptGross Fixed Capital Formation,0,0,0,2007IranPersonal Transportation,268,0.143751912,0.445603195,0,Iran,Personal Transportation,2007
2004EgyptGovernment,-0.119741504,0.258677864,0,2007IranServices,244,-0.184287513,0.479037505,12.5,Iran,Services,2007
2004MoroccoFood,-0.322410071,0.157009263,0,2011IranFood,292,-0.240200859,0.164413886,0,Iran,Food,2011
2004MoroccoHousing,-0.980192377,0.333609455,0,2011IranGoods,316,NA,Inf,0,Iran,Goods,2011
2004MoroccoPersonal Transportation,-0.494946458,0.392059252,0,2011IranGovernment,340,0.018324598,0.334610082,18.18181818,Iran,Government,2011
2004MoroccoGoods,0,0,0,2011IranHousing,364,NA,NA,100,Iran,Housing,2011
2004MoroccoServices,-0.587476041,0.310177848,12.5,2011IranPersonal Transportation,412,0.07990235,0.440050406,0,Iran,Personal Transportation,2011
2004MoroccoGross Fixed Capital Formation,0,0,0,2011IranServices,388,-0.091877852,0.529365317,25,Iran,Services,2011
2004MoroccoGovernment,-0.131158088,0.226730723,9.090909091,2004IrelandFood,574,0.568209402,0.287936192,20,Ireland,Food,2004
2004TunisiaFood,0.398274121,0.20966087,0,2004IrelandGovernment,907,0.284484385,0.424691194,27.27272727,Ireland,Government,2004
2004TunisiaHousing,0,0,0,2004IrelandHousing,1905,-0.584445316,0.44983018,0,Ireland,Housing,2004
2004TunisiaPersonal Transportation,-0.145324614,0.000696114,33.33333333,2004IrelandPersonal Transportation,1573,0.347267398,0.462112272,0,Ireland,Personal Transportation,2004
2004TunisiaGoods,0,0,0,2004IrelandServices,1240,-0.082279648,0.434927349,25,Ireland,Services,2004
2004TunisiaServices,0.034656333,0.503727276,12.5,2007IrelandFood,575,0.486989758,0.279869755,20,Ireland,Food,2007
2004TunisiaGross Fixed Capital Formation,0,0,0,2007IrelandGovernment,908,0.327176315,0.358630897,9.090909091,Ireland,Government,2007
2004TunisiaGovernment,0.367619391,0.274897205,9.090909091,2007IrelandHousing,1904,-0.335876636,0.522828403,0,Ireland,Housing,2007
2004Rest of North AfricaFood,-0.380997981,0.158966202,2.961141285,2007IrelandPersonal Transportation,1574,0.388099564,0.464750987,0,Ireland,Personal Transportation,2007
2004Rest of North AfricaHousing,-1.371825795,0.2185968,0,2007IrelandServices,1241,0.285481085,0.514031594,25,Ireland,Services,2007
2004Rest of North AfricaPersonal Transportation,0.055674927,0.376210976,4.935235474,2011IrelandFood,576,0.61573759,0.292606027,20,Ireland,Food,2011
2004Rest of North AfricaGoods,0,0,0,2011IrelandGovernment,909,0.174389694,0.339145891,9.090909091,Ireland,Government,2011
2004Rest of North AfricaServices,-0.482434063,0.38422863,9.253566515,2011IrelandHousing,1903,0.00321793,0.622411749,0,Ireland,Housing,2011
2004Rest of North AfricaGross Fixed Capital Formation,0,0,0,2011IrelandPersonal Transportation,1575,0.393960221,0.464295529,0,Ireland,Personal Transportation,2011
2004Rest of North AfricaGovernment,-0.165419066,0.266444548,29.96467389,2011IrelandServices,1242,0.391886078,0.532404576,25,Ireland,Services,2011
2004BeninFood,-0.365275728,0.154163411,0,2004IsraelFood,577,-0.108758301,0.223610735,20,Israel,Food,2004
2004BeninHousing,0,0,100,2004IsraelGovernment,910,0.056769311,0.314779457,9.090909091,Israel,Government,2004
2004BeninPersonal Transportation,-2.837614403,0.615323942,33.33333333,2004IsraelHousing,1908,0.699841977,0.826992301,0,Israel,Housing,2004
2004BeninGoods,0,0,0,2004IsraelPersonal Transportation,1576,0.115264832,0.443484214,0,Israel,Personal Transportation,2004
2004BeninServices,-0.892011058,0.259401386,12.5,2004IsraelServices,1243,0.801016224,0.659812611,12.5,Israel,Services,2004
2004BeninGross Fixed Capital Formation,0,0,0,2007IsraelFood,578,-0.057423907,0.227461234,20,Israel,Food,2007
2004BeninGovernment,-0.661994275,0.18143202,9.090909091,2007IsraelGovernment,911,0.155374577,0.339304687,9.090909091,Israel,Government,2007
2004Burkina FasoFood,-0.585515895,0.135410456,0,2007IsraelHousing,1907,0.798083567,0.855843327,0,Israel,Housing,2007
2004Burkina FasoHousing,0,0,100,2007IsraelPersonal Transportation,1577,0.15340178,0.446711821,0,Israel,Personal Transportation,2007
2004Burkina FasoPersonal Transportation,-1.117687003,0.339608246,0,2007IsraelServices,1244,0.915144848,0.685623403,12.5,Israel,Services,2007
2004Burkina FasoGoods,0,0,0,2011IsraelFood,579,0.075128191,0.240358568,20,Israel,Food,2011
2004Burkina FasoServices,-1.432698643,0.305692031,12.5,2011IsraelGovernment,912,0.213244011,0.345296869,9.090909091,Israel,Government,2011
2004Burkina FasoGross Fixed Capital Formation,0,0,0,2011IsraelHousing,1906,0.929096984,0.894318595,0,Israel,Housing,2011
2004Burkina FasoGovernment,-0.970780338,0.155960433,36.36363636,2011IsraelPersonal Transportation,1578,0.183553891,0.449240396,0,Israel,Personal Transportation,2011
2004CameroonFood,-0.571493378,0.137201326,0,2011IsraelServices,1245,0.994035621,0.702913335,12.5,Israel,Services,2011
2004CameroonHousing,0,0,100,2004ItalyFood,583,0.221545545,0.255583427,20,Italy,Food,2004
2004CameroonPersonal Transportation,-0.713841939,0.373673901,0,2004ItalyGovernment,916,-0.251100174,0.214109257,18.18181818,Italy,Government,2004
2004CameroonGoods,0,0,0,2004ItalyHousing,1911,NA,NA,100,Italy,Housing,2004
2004CameroonServices,-0.984522416,0.190138389,37.5,2004ItalyPersonal Transportation,1582,0.167603108,0.446915507,0,Italy,Personal Transportation,2004
2004CameroonGross Fixed Capital Formation,0,0,0,2004ItalyServices,1249,0.782816973,0.620697943,0,Italy,Services,2004
2004CameroonGovernment,-0.249643131,0.255235659,9.090909091,2007ItalyFood,584,0.011210336,0.23724615,20,Italy,Food,2007
2004Cote dIvoireFood,-0.375854946,0.153921222,0,2007ItalyGovernment,917,0.029990529,0.32236308,9.090909091,Italy,Government,2007
2004Cote dIvoireHousing,0,0,100,2007ItalyHousing,1910,1.1422884,0.956927426,0,Italy,Housing,2007
2004Cote dIvoirePersonal Transportation,0,0,100,2007ItalyPersonal Transportation,1583,0.145867719,0.445020824,0,Italy,Personal Transportation,2007
2004Cote dIvoireGoods,0,0,0,2007ItalyServices,1250,0.90588412,0.64600683,0,Italy,Services,2007
2004Cote dIvoireServices,-0.43892785,0.20541636,50,2011ItalyFood,585,0.088672442,0.244743206,20,Italy,Food,2011
2004Cote dIvoireGross Fixed Capital Formation,0,0,0,2011ItalyGovernment,918,0.06883732,0.332147314,9.090909091,Italy,Government,2011
2004Cote dIvoireGovernment,-0.25287877,0.201049297,36.36363636,2011ItalyHousing,1909,1.137024106,0.955381439,0,Italy,Housing,2011
2004GhanaFood,-0.414867928,0.149941725,0,2011ItalyPersonal Transportation,1584,0.106265044,0.441803611,0,Italy,Personal Transportation,2011
2004GhanaHousing,0,0,100,2011ItalyServices,1251,0.819694941,0.699465191,25,Italy,Services,2011
2004GhanaPersonal Transportation,-0.404415017,0.399790495,0,2004JamaicaFood,586,-0.256581028,0.16216266,0,Jamaica,Food,2004
2004GhanaGoods,0,0,0,2004JamaicaGovernment,919,-0.129879278,0.251627783,0,Jamaica,Government,2004
2004GhanaServices,-0.64792322,0.299278851,12.5,2004JamaicaHousing,1914,NA,NA,100,Jamaica,Housing,2004
2004GhanaGross Fixed Capital Formation,0,0,0,2004JamaicaPersonal Transportation,1585,0.221571001,0.452548167,0,Jamaica,Personal Transportation,2004
2004GhanaGovernment,-0.276220257,0.218766247,9.090909091,2004JamaicaServices,1252,-0.255091696,0.366922757,12.5,Jamaica,Services,2004
2004GuineaFood,-0.451195321,0.147397458,0,2007JamaicaFood,587,-0.308406349,0.158100044,0,Jamaica,Food,2007
2004GuineaHousing,0,0,100,2007JamaicaGovernment,920,-0.04418967,0.210672752,9.090909091,Jamaica,Government,2007
2004GuineaPersonal Transportation,-2.9007215,0.609999189,33.33333333,2007JamaicaHousing,1913,NA,NA,100,Jamaica,Housing,2007
2004GuineaGoods,0,0,0,2007JamaicaPersonal Transportation,1586,-0.146936132,0.000580621,33.33333333,Jamaica,Personal Transportation,2007
2004GuineaServices,-1.00281436,0.391891804,12.5,2007JamaicaServices,1253,-0.283427903,0.259485961,37.5,Jamaica,Services,2007
2004GuineaGross Fixed Capital Formation,0,0,0,2011JamaicaFood,588,-0.298505368,0.159258333,0,Jamaica,Food,2011
2004GuineaGovernment,-0.848627105,0.191770264,18.18181818,2011JamaicaGovernment,921,-0.068081043,0.209116861,9.090909091,Jamaica,Government,2011
2004NigeriaFood,-0.41160857,0.149683472,0,2011JamaicaHousing,1912,NA,NA,100,Jamaica,Housing,2011
2004NigeriaHousing,0,0,100,2011JamaicaPersonal Transportation,1587,-0.155037807,0,33.33333333,Jamaica,Personal Transportation,2011
2004NigeriaPersonal Transportation,-0.793916768,0.366911589,0,2011JamaicaServices,1254,-0.203264883,0.276558759,37.5,Jamaica,Services,2011
2004NigeriaGoods,0,0,0,2004JapanFood,592,0.259965285,0.258998746,20,Japan,Food,2004
2004NigeriaServices,-1.485760642,0.268061515,37.5,2004JapanGovernment,925,-2.209432975,-0.347484726,9.090909091,Japan,Government,2004
2004NigeriaGross Fixed Capital Formation,0,0,0,2004JapanHousing,1917,1.250521259,0.988712631,0,Japan,Housing,2004
2004NigeriaGovernment,-0.654772764,0.157755392,18.18181818,2004JapanPersonal Transportation,1591,0.393586992,0.463889102,0,Japan,Personal Transportation,2004
2004SenegalFood,-0.538109048,0.139408357,0,2004JapanServices,1258,0.402336329,0.501715228,12.5,Japan,Services,2004
2004SenegalHousing,0,0,0,2007JapanFood,593,0.288193013,0.261584541,20,Japan,Food,2007
2004SenegalPersonal Transportation,-0.441205441,0.39667607,0,2007JapanGovernment,926,0.640544366,0.452727716,9.090909091,Japan,Government,2007
2004SenegalGoods,0,0,0,2007JapanHousing,1916,1.263854066,0.992628133,0,Japan,Housing,2007
2004SenegalServices,-1.115896661,0.321428131,0,2007JapanPersonal Transportation,1592,0.387155138,0.463406801,0,Japan,Personal Transportation,2007
2004SenegalGross Fixed Capital Formation,0,0,0,2007JapanServices,1259,0.477100644,0.518098,12.5,Japan,Services,2007
2004SenegalGovernment,-0.205554544,0.25810459,9.090909091,2011JapanFood,594,0.155283728,0.250470439,20,Japan,Food,2011
2004TogoFood,-0.526861428,0.140551158,0,2011JapanGovernment,927,0.176960321,0.328907791,9.090909091,Japan,Government,2011
2004TogoHousing,0,0,0,2011JapanHousing,1915,1.278499923,0.996929245,0,Japan,Housing,2011
2004TogoPersonal Transportation,-2.388619031,0.653208582,33.33333333,2011JapanPersonal Transportation,1593,0.361672197,0.46157651,0,Japan,Personal Transportation,2011
2004TogoGoods,0,0,0,2011JapanServices,1260,0.694245348,0.564777926,12.5,Japan,Services,2011
2004TogoServices,-0.529150881,0.456065628,12.5,2004JordanFood,589,-0.058895356,0.176610172,0,Jordan,Food,2004
2004TogoGross Fixed Capital Formation,0,0,0,2004JordanGovernment,922,0.176405052,0.27354363,9.090909091,Jordan,Government,2004
2004TogoGovernment,-0.583163025,0.201062248,9.090909091,2004JordanHousing,1920,0.505979436,0.770059862,0,Jordan,Housing,2004
2004Rest of Western AfricaFood,-0.594313836,0.152193661,6.52893551,2004JordanPersonal Transportation,1588,0.20825809,0.451435928,0,Jordan,Personal Transportation,2004
2004Rest of Western AfricaHousing,-1.937464248,0.052483346,67.41748626,2004JordanServices,1255,-0.288685763,0.448889218,12.5,Jordan,Services,2004
2004Rest of Western AfricaPersonal Transportation,-2.10559891,0.512173947,40.42723784,2007JordanFood,590,0.313505984,0.204507355,0,Jordan,Food,2007
2004Rest of Western AfricaGoods,0,0,0,2007JordanGovernment,923,-0.003416508,0.190792334,18.18181818,Jordan,Government,2007
2004Rest of Western AfricaServices,-0.811406639,0.387222261,25.08018086,2007JordanHousing,1919,0.508961949,0.77093575,0,Jordan,Housing,2007
2004Rest of Western AfricaGross Fixed Capital Formation,0,0,0,2007JordanPersonal Transportation,1589,-0.143791686,0.000805974,33.33333333,Jordan,Personal Transportation,2007
2004Rest of Western AfricaGovernment,-0.6588816,0.144253773,13.13591572,2007JordanServices,1256,-0.358502195,0.359297216,25,Jordan,Services,2007
2004Central AfricaFood,-0.738512733,0.166639023,16.04583158,2011JordanFood,591,0.958960744,0.259423409,0,Jordan,Food,2011
2004Central AfricaHousing,0,0,100,2011JordanGovernment,924,0.064203366,0.212318976,27.27272727,Jordan,Government,2011
2004Central AfricaPersonal Transportation,-2.948023856,0.601260488,48.4467757,2011JordanHousing,1918,0.512293906,0.77191426,0,Jordan,Housing,2011
2004Central AfricaGoods,0,0,0,2011JordanPersonal Transportation,1590,-0.138680353,0.001172287,33.33333333,Jordan,Personal Transportation,2011
2004Central AfricaServices,-0.938707292,0.368463581,37.80819816,2011JordanServices,1257,-0.536956208,0.214078757,37.5,Jordan,Services,2011
2004Central AfricaGross Fixed Capital Formation,0,0,0,2004KazakhstanFood,607,-0.425562949,0.147286574,0,Kazakhstan,Food,2004
2004Central AfricaGovernment,-0.992402425,0.150797935,27.7210155,2004KazakhstanGovernment,940,-0.09855224,0.195467869,9.090909091,Kazakhstan,Government,2004
2004South Central AfricaFood,-0.523880712,0.1749847,15.16955627,2004KazakhstanHousing,1923,NA,NA,100,Kazakhstan,Housing,2004
2004South Central AfricaHousing,0,0,100,2004KazakhstanPersonal Transportation,1606,-0.15085841,0.000299524,33.33333333,Kazakhstan,Personal Transportation,2004
2004South Central AfricaPersonal Transportation,-0.153926158,0.0000797,83.89852091,2004KazakhstanServices,1273,0.413776069,0.540116231,0,Kazakhstan,Services,2004
2004South Central AfricaGoods,0,0,0,2007KazakhstanFood,608,0.043867385,0.187761848,0,Kazakhstan,Food,2007
2004South Central AfricaServices,-0.329192108,0.300764678,62.5,2007KazakhstanGovernment,941,0.034441089,0.222579269,9.090909091,Kazakhstan,Government,2007
2004South Central AfricaGross Fixed Capital Formation,0,0,0,2007KazakhstanHousing,1922,NA,NA,100,Kazakhstan,Housing,2007
2004South Central AfricaGovernment,-0.59257713,0.08606332,38.86757673,2007KazakhstanPersonal Transportation,1607,-0.148553874,0.000464683,33.33333333,Kazakhstan,Personal Transportation,2007
2004EthiopiaFood,-0.567320779,0.137338556,0,2007KazakhstanServices,1274,0.45808011,0.552120122,0,Kazakhstan,Services,2007
2004EthiopiaHousing,0,0,100,2011KazakhstanFood,609,0.578068121,0.232132284,0,Kazakhstan,Food,2011
2004EthiopiaPersonal Transportation,-1.278920849,0.325961209,0,2011KazakhstanGovernment,942,0.13826688,0.274205824,9.090909091,Kazakhstan,Government,2011
2004EthiopiaGoods,0,0,0,2011KazakhstanHousing,1921,NA,NA,100,Kazakhstan,Housing,2011
2004EthiopiaServices,-0.842026215,0.375270134,12.5,2011KazakhstanPersonal Transportation,1608,0.149738269,0.446430583,0,Kazakhstan,Personal Transportation,2011
2004EthiopiaGross Fixed Capital Formation,0,0,0,2011KazakhstanServices,1275,0.612121986,0.584082634,0,Kazakhstan,Services,2011
2004EthiopiaGovernment,-0.834273989,0.116078851,18.18181818,2004KenyaFood,595,-0.555754462,0.138849174,0,Kenya,Food,2004
2004KenyaFood,-0.555754462,0.138849174,0,2004KenyaGovernment,928,-0.135383022,0.252639928,9.090909091,Kenya,Government,2004
2004KenyaHousing,0,0,100,2004KenyaHousing,1926,NA,NA,100,Kenya,Housing,2004
2004KenyaPersonal Transportation,-0.200286753,0.416953376,0,2004KenyaPersonal Transportation,1594,-0.200286753,0.416953376,0,Kenya,Personal Transportation,2004
2004KenyaGoods,0,0,0,2004KenyaServices,1261,-0.778211619,0.342534468,25,Kenya,Services,2004
2004KenyaServices,-0.778211619,0.342534468,25,2007KenyaFood,596,-0.23662569,0.165909347,0,Kenya,Food,2007
2004KenyaGross Fixed Capital Formation,0,0,0,2007KenyaGovernment,929,-0.431099433,0.177263721,18.18181818,Kenya,Government,2007
2004KenyaGovernment,-0.135383022,0.252639928,9.090909091,2007KenyaHousing,1925,NA,NA,100,Kenya,Housing,2007
2004MadagascarFood,-0.462985358,0.147438675,0,2007KenyaPersonal Transportation,1595,-0.136779544,0.422284782,0,Kenya,Personal Transportation,2007
2004MadagascarHousing,0,0,100,2007KenyaServices,1262,-0.630580666,0.3029112,12.5,Kenya,Services,2007
2004MadagascarPersonal Transportation,-0.152466824,0.000184254,33.33333333,2011KenyaFood,597,-0.115966105,0.175836866,0,Kenya,Food,2011
2004MadagascarGoods,0,0,0,2011KenyaGovernment,930,-0.272840758,0.157641743,18.18181818,Kenya,Government,2011
2004MadagascarServices,-0.882702335,0.368518705,37.5,2011KenyaHousing,1924,NA,NA,100,Kenya,Housing,2011
2004MadagascarGross Fixed Capital Formation,0,0,0,2011KenyaPersonal Transportation,1596,-0.132464087,0.001617787,33.33333333,Kenya,Personal Transportation,2011
2004MadagascarGovernment,-0.614158433,0.086246194,18.18181818,2011KenyaServices,1263,-0.448132969,0.203463373,50,Kenya,Services,2011
2004MalawiFood,-0.467831788,0.145412978,0,2004KuwaitFood,604,0.567454416,0.233621179,0,Kuwait,Food,2004
2004MalawiHousing,0,0,100,2004KuwaitGovernment,937,0.310930219,0.329853505,9.090909091,Kuwait,Government,2004
2004MalawiPersonal Transportation,-0.023606848,0.431920912,0,2004KuwaitHousing,1929,1.288956254,1,0,Kuwait,Housing,2004
2004MalawiGoods,0,0,0,2004KuwaitPersonal Transportation,1603,0.485828083,0.474829696,0,Kuwait,Personal Transportation,2004
2004MalawiServices,-0.316802264,0.479288584,25,2004KuwaitServices,1270,0.063567964,0.494838755,0,Kuwait,Services,2004
2004MalawiGross Fixed Capital Formation,0,0,0,2007KuwaitFood,605,1.199825586,0.290894639,0,Kuwait,Food,2007
2004MalawiGovernment,-0.414008537,0.189514705,18.18181818,2007KuwaitGovernment,938,0.367725929,0.310468661,18.18181818,Kuwait,Government,2007
2004MauritiusFood,0.31177378,0.215690166,0,2007KuwaitHousing,1928,1.288956254,1,0,Kuwait,Housing,2007
2004MauritiusHousing,0,0,100,2007KuwaitPersonal Transportation,1604,0.193381744,0.450148913,0,Kuwait,Personal Transportation,2007
2004MauritiusPersonal Transportation,0.05535928,0.438553052,0,2007KuwaitServices,1271,0.275312539,0.459783945,12.5,Kuwait,Services,2007
2004MauritiusGoods,0,0,0,2011KuwaitFood,606,2.424013907,0.397935012,0,Kuwait,Food,2011
2004MauritiusServices,-0.243883421,0.451036467,0,2011KuwaitGovernment,939,0.296260464,0.312271088,18.18181818,Kuwait,Government,2011
2004MauritiusGross Fixed Capital Formation,0,0,0,2011KuwaitHousing,1927,1.288956254,1,0,Kuwait,Housing,2011
2004MauritiusGovernment,0.066047277,0.28974507,0,2011KuwaitPersonal Transportation,1605,0.050035377,0.438020034,0,Kuwait,Personal Transportation,2011
2004MozambiqueFood,-0.46933198,0.14525063,0,2011KuwaitServices,1272,0.404727691,0.546347413,0,Kuwait,Services,2011
2004MozambiqueHousing,0,0,100,2004KyrgyzstanFood,598,-0.222189611,0.168058249,0,Kyrgyzstan,Food,2004
2004MozambiquePersonal Transportation,-0.84630071,0.362499463,0,2004KyrgyzstanGovernment,931,-0.061341359,0.266092184,0,Kyrgyzstan,Government,2004
2004MozambiqueGoods,0,0,0,2004KyrgyzstanHousing,1932,NA,NA,100,Kyrgyzstan,Housing,2004
